net,length_um
DDATA\[0\]\[2\],2.06µm
_0286_,2.06µm
DDATA\[12\]\[6\],2.045µm
DDATA\[11\]\[12\],2.04µm
DDATA\[8\]\[3\],2.04µm
_0044_,2.04µm
_0170_,2.04µm
net72,2.04µm
net74,2.04µm
net86,2.04µm
_0173_,1.84µm
_0327_,1.84µm
net267,1.84µm
DDATA\[4\]\[2\],1.82µm
DDATA\[4\]\[6\],1.82µm
DDATA\[5\]\[14\],1.82µm
DDATA\[6\]\[12\],1.82µm
_0157_,1.82µm
_0364_,1.72µm
_0137_,1.7µm
_0167_,1.7µm
net79,1.7µm
DDATA\[10\]\[14\],1.605µm
DDATA\[13\]\[13\],1.605µm
DDATA\[13\]\[2\],1.605µm
DDATA\[15\]\[12\],1.605µm
DDATA\[15\]\[14\],1.605µm
_0236_,1.6µm
DDATA\[6\]\[13\],1.48µm
_0151_,1.48µm
_0370_,1.48µm
_0387_,1.38µm
DDATA\[3\]\[3\],1.36µm
_0197_,1.36µm
_0311_,1.26µm
i\[0\],1.26µm
DDATA\[10\]\[12\],1.14µm
DDATA\[11\]\[11\],1.14µm
DDATA\[12\]\[2\],1.14µm
DDATA\[14\]\[0\],1.14µm
DDATA\[14\]\[13\],1.14µm
DDATA\[7\]\[4\],1.14µm
_0149_,1.14µm
_0182_,1.14µm
_0227_,1.14µm
_0389_,1.14µm
net76,1.14µm
net81,1.14µm
net83,1.14µm
_0187_,0.46µm
_0218_,0.46µm
_0310_,0.46µm
_0351_,0.46µm
