net,length_um
_0273_,3.44µm
DDATA\[0\]\[6\],3.42µm
DDATA\[14\]\[1\],3.42µm
DDATA\[3\]\[4\],3.42µm
_0027_,3.42µm
_0044_,3.42µm
_0181_,3.42µm
_0219_,3.42µm
_0247_,3.42µm
_0258_,3.42µm
_0329_,3.42µm
DDATA\[15\]\[14\],3.295µm
_0283_,3.22µm
DDATA\[3\]\[12\],3.2µm
DDATA\[5\]\[10\],3.2µm
DDATA\[5\]\[14\],3.2µm
_0157_,3.2µm
_0374_,3.17µm
DDATA\[6\]\[8\],3.085µm
DDATA\[10\]\[10\],3.08µm
DDATA\[10\]\[13\],3.08µm
_0088_,3.08µm
_0160_,3.08µm
_0242_,3.08µm
_0290_,3.08µm
_0324_,3.08µm
_0373_,3.08µm
DDATA\[0\]\[5\],2.98µm
DDATA\[8\]\[11\],2.98µm
_0046_,2.98µm
DDATA\[2\]\[6\],2.965µm
_0163_,2.96µm
_0202_,2.96µm
_0203_,2.96µm
_0262_,2.96µm
_0280_,2.96µm
_0388_,2.96µm
net70,2.96µm
net75,2.96µm
net104,2.96µm
DDATA\[4\]\[4\],2.86µm
_0082_,2.84µm
_0197_,2.76µm
_0207_,2.76µm
_0231_,2.76µm
_0327_,2.76µm
net252,2.76µm
DDATA\[1\]\[8\],2.74µm
DDATA\[13\]\[7\],2.68µm
DDATA\[1\]\[10\],2.64µm
DDATA\[1\]\[3\],2.64µm
DDATA\[1\]\[5\],2.64µm
DDATA\[2\]\[2\],2.64µm
DDATA\[3\]\[3\],2.64µm
DDATA\[5\]\[2\],2.64µm
DDATA\[6\]\[2\],2.64µm
DDATA\[7\]\[0\],2.64µm
DDATA\[9\]\[1\],2.64µm
DDATA\[0\]\[10\],2.62µm
DDATA\[0\]\[11\],2.62µm
DDATA\[11\]\[2\],2.62µm
DDATA\[9\]\[7\],2.62µm
_0042_,2.62µm
net78,2.62µm
net87,2.62µm
DDATA\[9\]\[12\],2.525µm
DDATA\[10\]\[6\],2.52µm
DDATA\[10\]\[7\],2.52µm
DDATA\[11\]\[14\],2.52µm
DDATA\[2\]\[10\],2.52µm
DDATA\[3\]\[11\],2.52µm
DDATA\[3\]\[15\],2.52µm
DDATA\[7\]\[6\],2.52µm
DDATA\[9\]\[5\],2.52µm
_0033_,2.52µm
_0149_,2.52µm
DDATA\[0\]\[1\],2.5µm
DDATA\[11\]\[5\],2.5µm
DDATA\[12\]\[0\],2.5µm
DDATA\[13\]\[11\],2.5µm
DDATA\[15\]\[2\],2.5µm
DDATA\[3\]\[9\],2.5µm
DDATA\[6\]\[3\],2.5µm
DDATA\[7\]\[2\],2.5µm
DDATA\[9\]\[3\],2.5µm
_0018_,2.5µm
_0208_,2.5µm
_0252_,2.5µm
_0381_,2.5µm
net65,2.5µm
net79,2.5µm
DDATA\[12\]\[9\],2.28µm
DDATA\[1\]\[14\],2.28µm
DDATA\[4\]\[2\],2.28µm
DDATA\[7\]\[14\],2.28µm
_0080_,2.28µm
DDATA\[15\]\[3\],2.255µm
DDATA\[12\]\[10\],2.18µm
DDATA\[12\]\[1\],2.18µm
DDATA\[14\]\[5\],2.18µm
DDATA\[1\]\[12\],2.18µm
DDATA\[2\]\[12\],2.18µm
DDATA\[3\]\[6\],2.18µm
DDATA\[4\]\[10\],2.18µm
DDATA\[4\]\[13\],2.18µm
DDATA\[4\]\[5\],2.18µm
DDATA\[6\]\[7\],2.18µm
DDATA\[8\]\[13\],2.18µm
_0090_,2.18µm
_0369_,2.18µm
DDATA\[10\]\[5\],2.16µm
DDATA\[11\]\[4\],2.16µm
_0058_,2.16µm
_0182_,2.16µm
_0240_,2.16µm
_0282_,2.16µm
_0293_,2.16µm
_0360_,2.16µm
net9,2.16µm
DDATA\[11\]\[12\],2.155µm
DDATA\[3\]\[0\],2.065µm
DDATA\[9\]\[9\],2.065µm
DDATA\[0\]\[13\],2.06µm
_0226_,2.06µm
DDATA\[6\]\[4\],2.045µm
DDATA\[7\]\[13\],2.045µm
DDATA\[2\]\[9\],2.04µm
DDATA\[4\]\[0\],2.04µm
DDATA\[4\]\[8\],2.04µm
DDATA\[5\]\[15\],2.04µm
DDATA\[5\]\[3\],2.04µm
DDATA\[5\]\[9\],2.04µm
DDATA\[7\]\[7\],2.04µm
_0178_,2.04µm
_0326_,2.04µm
_0348_,2.04µm
net46,2.04µm
net72,2.04µm
net73,2.04µm
net76,2.04µm
net85,2.04µm
net86,2.04µm
_0171_,1.94µm
DDATA\[15\]\[1\],1.915µm
net251,1.84µm
DDATA\[12\]\[5\],1.82µm
DDATA\[2\]\[13\],1.82µm
DDATA\[4\]\[9\],1.82µm
DDATA\[6\]\[11\],1.82µm
_0081_,1.82µm
DDATA\[14\]\[7\],1.7µm
_0047_,1.7µm
_0079_,1.7µm
net63,1.7µm
DDATA\[14\]\[10\],1.605µm
DDATA\[15\]\[0\],1.605µm
DDATA\[15\]\[15\],1.605µm
DDATA\[5\]\[7\],1.605µm
DDATA\[7\]\[11\],1.605µm
DDATA\[7\]\[4\],1.6µm
DDATA\[8\]\[14\],1.6µm
_0162_,1.6µm
_0272_,1.6µm
DDATA\[2\]\[4\],1.36µm
DDATA\[4\]\[7\],1.36µm
DDATA\[7\]\[9\],1.36µm
_0317_,1.36µm
_0217_,1.26µm
DDATA\[10\]\[11\],1.14µm
DDATA\[11\]\[9\],1.14µm
DDATA\[12\]\[2\],1.14µm
DDATA\[13\]\[14\],1.14µm
DDATA\[15\]\[9\],1.14µm
DDATA\[6\]\[10\],1.14µm
DDATA\[6\]\[9\],1.14µm
DDATA\[9\]\[14\],1.14µm
net74,1.14µm
net81,1.14µm
net83,1.14µm
_0251_,0.92µm
_0380_,0.92µm
_0151_,0.46µm
_0193_,0.46µm
_0263_,0.46µm
_0372_,0.46µm
